,ABV,Coin,Price
0,BTC,Bitcoin,$6734.79
1,ETH,Ethereum,$276.71
2,XRP,XRP,$0.326976
3,BCH,Bitcoin Cash,$528.10
4,EOS,EOS,$5.15
5,XLM,Stellar,$0.217741
6,LTC,Litecoin,$57.38
7,USDT,Tether,$0.999657
8,ADA,Cardano,$0.095665
9,MIOTA,IOTA,$0.603012
10,XMR,Monero,$96.95
11,TRX,TRON,$0.023394
12,ETC,Ethereum Classic,$12.45
13,DASH,Dash,$145.61
14,NEO,NEO,$18.16
15,BNB,Binance Coin,$10.61
16,XEM,NEM,$0.104363
17,VET,VeChain,$0.016638
18,XTZ,Tezos,$1.32
19,ZEC,Zcash,$137.48
20,LSK,Lisk,$5.09
21,OMG,OmiseGO,$3.89
22,ONT,Ontology,$2.53
23,NANO,Nano,$3.12
24,ZRX,0x,$0.729618
25,QTUM,Qtum,$4.20
26,BCN,Bytecoin,$0.001876
27,ICX,ICON,$0.886525
28,BTG,Bitcoin Gold,$19.68
29,DCR,Decred,$38.57
30,ZIL,Zilliqa,$0.042340
31,MKR,Maker,$433.30
32,BTS,BitShares,$0.107545
33,DGB,DigiByte,$0.026366
34,DOGE,Dogecoin,$0.002419
35,STEEM,Steem,$0.919303
36,AE,Aeternity,$1.04
37,WAVES,Waves,$2.21
38,XVG,Verge,$0.014053
39,BAT,Basic Attenti...,$0.211956
40,REP,Augur,$19.22
41,SC,Siacoin,$0.005761
42,BTM,Bytom,$0.189609
43,BCD,Bitcoin Diamond,$1.22
44,NPXS,Pundi X,$0.001862
45,PPT,Populous,$4.68
46,MOAC,MOAC,$2.77
47,WTC,Waltonchain,$4.07
48,STRAT,Stratis,$1.58
49,GNT,Golem,$0.150544
50,RHOC,RChain,$0.377482
51,ETP,Metaverse ETP,$2.76
52,SNT,Status,$0.039916
53,WAN,Wanchain,$1.28
54,AION,Aion,$0.645420
55,DCN,Dentacoin,$0.000391
56,KMD,Komodo,$1.15
57,HSR,Hshare,$2.84
58,KCS,KuCoin Shares,$1.36
59,IOST,IOST,$0.014391
60,MITH,Mithril,$0.314888
61,LINK,ChainLink,$0.326990
62,ARDR,Ardor,$0.111509
63,HT,Huobi Token,$2.21
64,MAID,MaidSafeCoin,$0.242485
65,DGD,DigixDAO,$54.66
66,ELF,aelf,$0.404078
67,XIN,Mixin,$221.27
68,CNX,Cryptonex,$2.09
69,MONA,MonaCoin,$1.53
70,ARK,Ark,$0.883149
71,ZEN,Horizen,$19.07
72,HOT,Holo,$0.000656
73,BTCP,Bitcoin Private,$4.18
74,BNT,Bancor,$1.62
75,FUN,FunFair,$0.016967
76,GXS,GXChain,$1.41
77,KIN,Kin,$0.000112
78,ELA,Elastos,$10.34
79,NAS,Nebulas,$1.79
80,QASH,QASH,$0.211747
81,MANA,Decentraland,$0.070055
82,POWR,Power Ledger,$0.195188
83,TUSD,TrueUSD,$1.00
84,KNC,Kyber Network,$0.541907
85,RDD,ReddCoin,$0.002515
86,SUB,Substratum,$0.188930
87,MCO,MCO,$4.51
88,LRC,Loopring,$0.123920
89,XZC,ZCoin,$12.65
90,NXT,Nxt,$0.069185
91,EMC,Emercoin,$1.64
92,WAX,WAX,$0.073499
93,TTU,TaTaTu,$0.700978
94,CMT,CyberMiles,$0.097271
95,PIVX,PIVX,$1.18
96,AOA,Aurora,$0.019064
97,THETA,Theta Token,$0.097178
98,LOOM,Loom Network,$0.107859
99,CTXC,Cortex,$0.422552
100,BTC,Bitcoin,$6734.79
101,ETH,Ethereum,$276.71
102,XRP,XRP,$0.326976
103,BCH,Bitcoin Cash,$528.10
104,EOS,EOS,$5.15
105,XLM,Stellar,$0.217741
106,LTC,Litecoin,$57.38
107,USDT,Tether,$0.999657
108,ADA,Cardano,$0.095665
109,MIOTA,IOTA,$0.603012
110,XMR,Monero,$96.95
111,TRX,TRON,$0.023394
112,ETC,Ethereum Classic,$12.45
113,DASH,Dash,$145.61
114,NEO,NEO,$18.16
115,BNB,Binance Coin,$10.61
116,XEM,NEM,$0.104363
117,VET,VeChain,$0.016638
118,XTZ,Tezos,$1.32
119,ZEC,Zcash,$137.48
120,LSK,Lisk,$5.09
121,OMG,OmiseGO,$3.89
122,ONT,Ontology,$2.53
123,NANO,Nano,$3.12
124,ZRX,0x,$0.729618
125,QTUM,Qtum,$4.20
126,BCN,Bytecoin,$0.001876
127,ICX,ICON,$0.886525
128,BTG,Bitcoin Gold,$19.68
129,DCR,Decred,$38.57
130,ZIL,Zilliqa,$0.042340
131,MKR,Maker,$433.30
132,BTS,BitShares,$0.107545
133,DGB,DigiByte,$0.026366
134,DOGE,Dogecoin,$0.002419
135,STEEM,Steem,$0.919303
136,AE,Aeternity,$1.04
137,WAVES,Waves,$2.21
138,XVG,Verge,$0.014053
139,BAT,Basic Attenti...,$0.211956
140,REP,Augur,$19.22
141,SC,Siacoin,$0.005761
142,BTM,Bytom,$0.189609
143,BCD,Bitcoin Diamond,$1.22
144,NPXS,Pundi X,$0.001862
145,PPT,Populous,$4.68
146,MOAC,MOAC,$2.77
147,WTC,Waltonchain,$4.07
148,STRAT,Stratis,$1.58
149,GNT,Golem,$0.150544
150,RHOC,RChain,$0.377482
151,ETP,Metaverse ETP,$2.76
152,SNT,Status,$0.039916
153,WAN,Wanchain,$1.28
154,AION,Aion,$0.645420
155,DCN,Dentacoin,$0.000391
156,KMD,Komodo,$1.15
157,HSR,Hshare,$2.84
158,KCS,KuCoin Shares,$1.36
159,IOST,IOST,$0.014391
160,MITH,Mithril,$0.314888
161,LINK,ChainLink,$0.326990
162,ARDR,Ardor,$0.111509
163,HT,Huobi Token,$2.21
164,MAID,MaidSafeCoin,$0.242485
165,DGD,DigixDAO,$54.66
166,ELF,aelf,$0.404078
167,XIN,Mixin,$221.27
168,CNX,Cryptonex,$2.09
169,MONA,MonaCoin,$1.53
170,ARK,Ark,$0.883149
171,ZEN,Horizen,$19.07
172,HOT,Holo,$0.000656
173,BTCP,Bitcoin Private,$4.18
174,BNT,Bancor,$1.62
175,FUN,FunFair,$0.016967
176,GXS,GXChain,$1.41
177,KIN,Kin,$0.000112
178,ELA,Elastos,$10.34
179,NAS,Nebulas,$1.79
180,QASH,QASH,$0.211747
181,MANA,Decentraland,$0.070055
182,POWR,Power Ledger,$0.195188
183,TUSD,TrueUSD,$1.00
184,KNC,Kyber Network,$0.541907
185,RDD,ReddCoin,$0.002515
186,SUB,Substratum,$0.188930
187,MCO,MCO,$4.51
188,LRC,Loopring,$0.123920
189,XZC,ZCoin,$12.65
190,NXT,Nxt,$0.069185
191,EMC,Emercoin,$1.64
192,WAX,WAX,$0.073499
193,TTU,TaTaTu,$0.700978
194,CMT,CyberMiles,$0.097271
195,PIVX,PIVX,$1.18
196,AOA,Aurora,$0.019064
197,THETA,Theta Token,$0.097178
198,LOOM,Loom Network,$0.107859
199,CTXC,Cortex,$0.422552
200,GBYTE,Byteball Bytes,$94.98
201,PAY,TenX,$0.575031
202,POLY,Polymath,$0.221394
