,ABV,Coin,Market Cap,Price
0,BTC,Bitcoin,1.19562659705e+11,$6935.24
1,ETH,Ethereum,28456495658.0,$279.96
2,XRP,XRP,13085758880.0,$0.330030
3,BCH,Bitcoin Cash,9228875815.74,$532.82
4,EOS,EOS,5298279820.27,$5.85
5,XLM,Stellar,4064971520.67,$0.216529
6,LTC,Litecoin,3458567846.34,$59.56
7,USDT,Tether,2786572131.97,$1.00
8,ADA,Cardano,2576010964.07,$0.099356
9,MIOTA,IOTA,1893895234.64,$0.681372
10,XMR,Monero,1610794517.42,$98.44
11,TRX,TRON,1583548852.81,$0.024085
12,DASH,Dash,1492665964.49,$180.14
13,ETC,Ethereum Classic,1317122036.81,$12.64
14,NEO,NEO,1226070741.34,$18.86
15,BNB,Binance Coin,1006537925.69,$10.54
16,XEM,NEM,918709399.662,$0.102079
17,VET,VeChain,887416927.314,$0.016003
18,XTZ,Tezos,814034327.416,$1.34
19,ZEC,Zcash,696597786.465,$148.60
20,OMG,OmiseGO,574557696.132,$4.10
21,LSK,Lisk,499808636.454,$4.56
22,ONT,Ontology,436275300.953,$2.37
23,ZRX,0x,408977382.449,$0.760936
24,QTUM,Qtum,402474174.31,$4.53
25,BTG,Bitcoin Gold,373337684.489,$21.70
26,DOGE,Dogecoin,364848550.164,$0.003147
27,BCN,Bytecoin,362011191.355,$0.001969
28,NANO,Nano,348359362.668,$2.61
29,DCR,Decred,341593194.407,$40.77
30,ZIL,Zilliqa,324721744.862,$0.042883
31,ICX,ICON,318509873.534,$0.822107
32,DGB,DigiByte,307158760.797,$0.028632
33,BTS,BitShares,299942194.397,$0.112976
34,MKR,Maker,294208243.107,$440.28
35,AE,Aeternity,254521211.723,$1.09
36,STEEM,Steem,251105028.523,$0.916430
37,BAT,Basic Attenti...,216647638.481,$0.216648
38,REP,Augur,214853598.056,$19.53
39,SC,Siacoin,214536990.16,$0.005869
40,XVG,Verge,212348474.249,$0.013996
41,BCD,Bitcoin Diamond,206450549.179,$1.34
42,WAVES,Waves,205577929.841,$2.06
43,BTM,Bytom,187508502.369,$0.187041
44,NPXS,Pundi X,181952726.764,$0.001869
45,ETP,Metaverse ETP,174257682.062,$3.47
46,WTC,Waltonchain,172349560.135,$4.29
47,MOAC,MOAC,159217489.617,$2.55
48,PPT,Populous,159012242.572,$4.30
49,GNT,Golem,154086850.898,$0.160634
50,STRAT,Stratis,150998235.343,$1.53
51,KMD,Komodo,141509334.69,$1.29
52,RHOC,RChain,141488430.388,$0.372603
53,SNT,Status,140938419.769,$0.040611
54,HSR,Hshare,129249013.102,$2.98
55,KCS,KuCoin Shares,126139469.971,$1.39
56,IOST,IOST,120315887.536,$0.014323
57,MAID,MaidSafeCoin,120267641.055,$0.265754
58,WAN,Wanchain,118986076.731,$1.12
59,DCN,Dentacoin,118374600.798,$0.000364
60,MITH,Mithril,117833934.55,$0.312715
61,AION,Aion,116898160.227,$0.564761
62,ARDR,Ardor,111599827.193,$0.111712
63,HT,Huobi Token,105912373.499,$2.12
64,DGD,DigixDAO,105133951.822,$52.57
65,LINK,Chainlink,104557499.973,$0.298736
66,HOT,Holo,102688338.313,$0.000771
67,ELF,aelf,97636279.7868,$0.390545
68,XIN,Mixin,97262421.3534,$219.94
69,CNX,Cryptonex,95208681.2984,$2.10
70,MONA,MonaCoin,92447873.3809,$1.49
71,BTCP,Bitcoin Private,90807949.5478,$4.42
72,ARK,Ark,90028154.3796,$0.858745
73,FUN,FunFair,86961796.013,$0.017355
74,BNT,Bancor,86341297.457,$1.64
75,GXS,GXChain,85919047.929,$1.43
76,ZEN,Horizen,85618371.5848,$18.58
77,NAS,Nebulas,80672779.1483,$1.77
78,MANA,Decentraland,80494638.7728,$0.076651
79,RDD,ReddCoin,79802350.1612,$0.002770
80,TTU,TaTaTu,79034069.4144,$0.817076
81,ELA,Elastos,76482706.8106,$9.65
82,KIN,Kin,75263230.6134,$0.000100
83,QASH,QASH,74799868.3324,$0.213714
84,POWR,Power Ledger,73069558.508,$0.193071
85,TUSD,TrueUSD,73046878.6993,$1.00
86,KNC,Kyber Network,71833440.1334,$0.535540
87,NOAH,Noah Coin,71483260.4297,$0.002187
88,NXT,Nxt,70656446.2134,$0.070727
89,XZC,ZCoin,70046968.6818,$12.67
90,NULS,Nuls,69879012.7224,$1.75
91,MCO,MCO,68675779.7089,$4.35
92,WAX,WAX,68431662.9054,$0.073515
93,LOOM,Loom Network,68326606.2466,$0.115739
94,CMT,CyberMiles,67915349.4727,$0.097696
95,LRC,Loopring,67311913.1836,$0.117663
96,AOA,Aurora,67152235.6871,$0.019407
97,PIVX,PIVX,66903853.8092,$1.18
98,THETA,Theta Token,66290279.6116,$0.099834
99,EMC,Emercoin,65761753.8912,$1.56
100,BTC,Bitcoin,1.19562659705e+11,$6935.24
101,ETH,Ethereum,28456495658.0,$279.96
102,XRP,XRP,13085758880.0,$0.330030
103,BCH,Bitcoin Cash,9228875815.74,$532.82
104,EOS,EOS,5298279820.27,$5.85
105,XLM,Stellar,4064971520.67,$0.216529
106,LTC,Litecoin,3458567846.34,$59.56
107,USDT,Tether,2786572131.97,$1.00
108,ADA,Cardano,2576010964.07,$0.099356
109,MIOTA,IOTA,1893895234.64,$0.681372
110,XMR,Monero,1610794517.42,$98.44
111,TRX,TRON,1583548852.81,$0.024085
112,DASH,Dash,1492665964.49,$180.14
113,ETC,Ethereum Classic,1317122036.81,$12.64
114,NEO,NEO,1226070741.34,$18.86
115,BNB,Binance Coin,1006537925.69,$10.54
116,XEM,NEM,918709399.662,$0.102079
117,VET,VeChain,887416927.314,$0.016003
118,XTZ,Tezos,814034327.416,$1.34
119,ZEC,Zcash,696597786.465,$148.60
120,OMG,OmiseGO,574557696.132,$4.10
121,LSK,Lisk,499808636.454,$4.56
122,ONT,Ontology,436275300.953,$2.37
123,ZRX,0x,408977382.449,$0.760936
124,QTUM,Qtum,402474174.31,$4.53
125,BTG,Bitcoin Gold,373337684.489,$21.70
126,DOGE,Dogecoin,364848550.164,$0.003147
127,BCN,Bytecoin,362011191.355,$0.001969
128,NANO,Nano,348359362.668,$2.61
129,DCR,Decred,341593194.407,$40.77
130,ZIL,Zilliqa,324721744.862,$0.042883
131,ICX,ICON,318509873.534,$0.822107
132,DGB,DigiByte,307158760.797,$0.028632
133,BTS,BitShares,299942194.397,$0.112976
134,MKR,Maker,294208243.107,$440.28
135,AE,Aeternity,254521211.723,$1.09
136,STEEM,Steem,251105028.523,$0.916430
137,BAT,Basic Attenti...,216647638.481,$0.216648
138,REP,Augur,214853598.056,$19.53
139,SC,Siacoin,214536990.16,$0.005869
140,XVG,Verge,212348474.249,$0.013996
141,BCD,Bitcoin Diamond,206450549.179,$1.34
142,WAVES,Waves,205577929.841,$2.06
143,BTM,Bytom,187508502.369,$0.187041
144,NPXS,Pundi X,181952726.764,$0.001869
145,ETP,Metaverse ETP,174257682.062,$3.47
146,WTC,Waltonchain,172349560.135,$4.29
147,MOAC,MOAC,159217489.617,$2.55
148,PPT,Populous,159012242.572,$4.30
149,GNT,Golem,154086850.898,$0.160634
150,STRAT,Stratis,150998235.343,$1.53
151,KMD,Komodo,141509334.69,$1.29
152,RHOC,RChain,141488430.388,$0.372603
153,SNT,Status,140938419.769,$0.040611
154,HSR,Hshare,129249013.102,$2.98
155,KCS,KuCoin Shares,126139469.971,$1.39
156,IOST,IOST,120315887.536,$0.014323
157,MAID,MaidSafeCoin,120267641.055,$0.265754
158,WAN,Wanchain,118986076.731,$1.12
159,DCN,Dentacoin,118374600.798,$0.000364
160,MITH,Mithril,117833934.55,$0.312715
161,AION,Aion,116898160.227,$0.564761
162,ARDR,Ardor,111599827.193,$0.111712
163,HT,Huobi Token,105912373.499,$2.12
164,DGD,DigixDAO,105133951.822,$52.57
165,LINK,Chainlink,104557499.973,$0.298736
166,HOT,Holo,102688338.313,$0.000771
167,ELF,aelf,97636279.7868,$0.390545
168,XIN,Mixin,97262421.3534,$219.94
169,CNX,Cryptonex,95208681.2984,$2.10
170,MONA,MonaCoin,92447873.3809,$1.49
171,BTCP,Bitcoin Private,90807949.5478,$4.42
172,ARK,Ark,90028154.3796,$0.858745
173,FUN,FunFair,86961796.013,$0.017355
174,BNT,Bancor,86341297.457,$1.64
