,ABV,Coin,Market Cap,Percent Change,Price
0,BTC,Bitcoin,1.20217369649e+11,0.33%,$6972.58
1,ETH,Ethereum,28572967157.0,0.14%,$281.05
2,XRP,XRP,13137771291.4,0.16%,$0.331342
3,BCH,Bitcoin Cash,9307110745.66,0.18%,$537.28
4,EOS,EOS,5604802256.99,5.62%,$6.18
5,XLM,Stellar,4127089021.0,0.68%,$0.219838
6,LTC,Litecoin,3513268908.56,0.87%,$60.49
7,USDT,Tether,2784060377.03,0.03%,$1.00
8,ADA,Cardano,2603346028.21,0.70%,$0.100410
9,MIOTA,IOTA,1984725769.8,4.90%,$0.714051
10,XMR,Monero,1793873162.34,10.41%,$109.61
11,TRX,TRON,1638390784.71,3.30%,$0.024919
12,DASH,Dash,1541216217.68,2.85%,$185.96
13,ETC,Ethereum Classic,1320520104.87,-0.38%,$12.67
14,NEO,NEO,1282392417.76,4.13%,$19.73
15,BNB,Binance Coin,1028661507.77,1.24%,$10.77
16,VET,VeChain,952061500.656,6.54%,$0.017168
17,XEM,NEM,925545572.096,0.34%,$0.102838
18,XTZ,Tezos,817506527.894,-0.59%,$1.35
19,ZEC,Zcash,692035573.082,-0.07%,$147.42
20,OMG,OmiseGO,589457597.023,2.65%,$4.20
21,LSK,Lisk,520035390.342,2.54%,$4.74
22,ONT,Ontology,461883083.247,5.45%,$2.51
23,DOGE,Dogecoin,430198171.12,19.38%,$0.003711
24,QTUM,Qtum,418053871.475,3.98%,$4.70
25,ZRX,0x,413353802.773,0.34%,$0.769042
26,NANO,Nano,400900227.771,16.37%,$3.01
27,BCN,Bytecoin,390364518.682,7.14%,$0.002123
28,BTG,Bitcoin Gold,373677757.824,-1.07%,$21.72
29,DCR,Decred,355522070.587,3.78%,$42.40
30,ICX,ICON,345620967.182,8.43%,$0.892083
31,ZIL,Zilliqa,335796337.533,3.16%,$0.044345
32,DGB,DigiByte,320694819.458,3.44%,$0.029883
33,BTS,BitShares,304958124.365,1.09%,$0.114856
34,MKR,Maker,291983463.336,-0.11%,$436.95
35,AE,Aeternity,261021928.477,2.28%,$1.12
36,STEEM,Steem,255001120.982,1.21%,$0.930430
37,BAT,Basic Attenti...,220369877.109,0.56%,$0.220370
38,SC,Siacoin,219922096.51,1.54%,$0.006013
39,REP,Augur,217312839.346,0.11%,$19.76
40,XVG,Verge,216655069.392,1.54%,$0.014280
41,WAVES,Waves,207562351.551,-0.34%,$2.08
42,BCD,Bitcoin Diamond,198050865.543,-4.76%,$1.29
43,BTM,Bytom,195443605.535,3.81%,$0.194956
44,WTC,Waltonchain,193379163.5,13.90%,$4.82
45,NPXS,Pundi X,178596495.498,0.13%,$0.001834
46,ETP,Metaverse ETP,168154065.93,-4.01%,$3.35
47,GNT,Golem,166692822.787,8.94%,$0.173776
48,PPT,Populous,159258022.708,-1.23%,$4.30
49,STRAT,Stratis,153246858.5,0.59%,$1.55
50,RHOC,RChain,146588673.321,1.97%,$0.385973
51,MOAC,MOAC,144240667.9,-10.79%,$2.31
52,KMD,Komodo,141357594.047,-0.75%,$1.29
53,SNT,Status,140708280.444,-0.78%,$0.040544
54,WAN,Wanchain,136996534.557,14.77%,$1.29
55,HSR,Hshare,135998151.305,4.35%,$3.13
56,AION,Aion,133692905.682,13.35%,$0.645900
57,KCS,KuCoin Shares,127030635.193,0.65%,$1.40
58,IOST,IOST,124876300.76,3.16%,$0.014866
59,MAID,MaidSafeCoin,119240313.668,-1.08%,$0.263484
60,MITH,Mithril,118333809.615,-0.52%,$0.313903
61,ARDR,Ardor,112872624.209,0.83%,$0.112986
62,DCN,Dentacoin,112130262.567,-5.94%,$0.000345
63,LINK,Chainlink,108014721.174,4.44%,$0.308613
64,HOT,Holo,107579954.577,3.19%,$0.000808
65,HT,Huobi Token,105948451.641,-1.35%,$2.12
66,DGD,DigixDAO,103343779.402,-2.20%,$51.67
67,CNX,Cryptonex,100233003.84,-0.89%,$2.21
68,XIN,Mixin,99649025.6682,0.53%,$225.34
69,ELF,aelf,99292819.1188,1.53%,$0.397171
70,ARK,Ark,94880331.0874,3.82%,$0.904856
71,MONA,MonaCoin,90570272.4018,-2.73%,$1.46
72,BTCP,Bitcoin Private,90439523.3767,-0.65%,$4.41
73,BNT,Bancor,86894007.5193,0.16%,$1.65
74,FUN,FunFair,86775688.2071,0.33%,$0.017318
75,ZEN,Horizen,86382465.0873,0.54%,$18.72
76,GXS,GXChain,85874047.1328,-0.60%,$1.43
77,RDD,ReddCoin,84298067.567,3.56%,$0.002926
78,NAS,Nebulas,83069934.2059,2.93%,$1.83
79,TTU,TaTaTu,80741166.0284,1.79%,$0.834724
80,MANA,Decentraland,80313706.6774,-0.53%,$0.076479
81,ELA,Elastos,78895699.6614,2.95%,$9.95
82,QASH,QASH,75903177.2677,2.02%,$0.216866
83,KIN,Kin,74478313.3893,-1.29%,$0.000099
84,POWR,Power Ledger,73647032.2658,0.34%,$0.194596
85,NULS,Nuls,73047481.634,11.88%,$1.83
86,TUSD,TrueUSD,72719986.8127,-0.18%,$1.00
87,KNC,Kyber Network,72673873.9919,0.01%,$0.541806
88,AOA,Aurora,72372670.4892,6.97%,$0.020916
89,NXT,Nxt,70805815.5166,0.52%,$0.070877
90,WAX,WAX,70418643.7467,0.96%,$0.075650
91,XZC,ZCoin,70264219.974,-0.01%,$12.69
92,LOOM,Loom Network,70234220.3641,3.58%,$0.118930
93,GAS,Gas,69726244.9202,7.58%,$6.88
94,PAY,TenX,69327114.2807,6.43%,$0.634237
95,LRC,Loopring,68511338.7713,0.56%,$0.119760
96,MCO,MCO,68318193.8969,-1.12%,$4.33
97,CMT,CyberMiles,68087789.8636,1.31%,$0.097944
98,NOAH,Noah Coin,67865372.662,-3.84%,$0.002076
99,THETA,Theta Token,66761944.9284,1.97%,$0.100545
100,BTC,Bitcoin,1.20217369649e+11,0.33%,$6972.58
101,ETH,Ethereum,28572967157.0,0.14%,$281.05
102,XRP,XRP,13137771291.4,0.16%,$0.331342
103,BCH,Bitcoin Cash,9307110745.66,0.18%,$537.28
104,EOS,EOS,5604802256.99,5.62%,$6.18
105,XLM,Stellar,4127089021.0,0.68%,$0.219838
106,LTC,Litecoin,3513268908.56,0.87%,$60.49
107,USDT,Tether,2784060377.03,0.03%,$1.00
108,ADA,Cardano,2603346028.21,0.70%,$0.100410
109,MIOTA,IOTA,1984725769.8,4.90%,$0.714051
110,XMR,Monero,1793873162.34,10.41%,$109.61
111,TRX,TRON,1638390784.71,3.30%,$0.024919
112,DASH,Dash,1541216217.68,2.85%,$185.96
113,ETC,Ethereum Classic,1320520104.87,-0.38%,$12.67
114,NEO,NEO,1282392417.76,4.13%,$19.73
115,BNB,Binance Coin,1028661507.77,1.24%,$10.77
116,VET,VeChain,952061500.656,6.54%,$0.017168
117,XEM,NEM,925545572.096,0.34%,$0.102838
118,XTZ,Tezos,817506527.894,-0.59%,$1.35
119,ZEC,Zcash,692035573.082,-0.07%,$147.42
120,OMG,OmiseGO,589457597.023,2.65%,$4.20
121,LSK,Lisk,520035390.342,2.54%,$4.74
122,ONT,Ontology,461883083.247,5.45%,$2.51
123,DOGE,Dogecoin,430198171.12,19.38%,$0.003711
124,QTUM,Qtum,418053871.475,3.98%,$4.70
125,ZRX,0x,413353802.773,0.34%,$0.769042
126,NANO,Nano,400900227.771,16.37%,$3.01
127,BCN,Bytecoin,390364518.682,7.14%,$0.002123
128,BTG,Bitcoin Gold,373677757.824,-1.07%,$21.72
129,DCR,Decred,355522070.587,3.78%,$42.40
130,ICX,ICON,345620967.182,8.43%,$0.892083
131,ZIL,Zilliqa,335796337.533,3.16%,$0.044345
132,DGB,DigiByte,320694819.458,3.44%,$0.029883
133,BTS,BitShares,304958124.365,1.09%,$0.114856
134,MKR,Maker,291983463.336,-0.11%,$436.95
135,AE,Aeternity,261021928.477,2.28%,$1.12
136,STEEM,Steem,255001120.982,1.21%,$0.930430
137,BAT,Basic Attenti...,220369877.109,0.56%,$0.220370
138,SC,Siacoin,219922096.51,1.54%,$0.006013
139,REP,Augur,217312839.346,0.11%,$19.76
140,XVG,Verge,216655069.392,1.54%,$0.014280
